anio,region_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2018,Patagonia,GC3,1157,5676964,25.5719051832461,24.1090586449894,27.099816598618
2019,Patagonia,GC3,1096,5767084,23.4550387845358,22.0786859252736,24.8943318972948
2020,Patagonia,GC3,1118,5856438,23.0062907276372,21.6703862783453,24.4026667610552
2021,Patagonia,GC3,1160,5945082,23.0631877008376,21.7491346628179,24.4356100788678
2022,Patagonia,GC3,1104,6033078,21.2462139746125,20.0072827974106,22.5415903881041
2023,Patagonia,GC3,1123,6120372,20.8777941310227,19.6714012314902,22.1386713887866
2010,Patagonia,GC4,2008,4935522,62.015899312117,59.3029609525028,64.8198989860262
2011,Patagonia,GC4,2073,5029662,61.3971978234235,58.7537174581909,64.1279805434696
2012,Patagonia,GC4,2174,5123570,62.2320574746365,59.61867114994,64.9296876969265
2013,Patagonia,GC4,2307,5217138,63.7786664206288,61.1802354785178,66.4583668067535
2014,Patagonia,GC4,2362,5310246,62.9376773096767,60.4046596967198,65.5489749286856
2015,Patagonia,GC4,2412,5402766,62.0638043485496,59.5943723035478,64.6087428767634
2016,Patagonia,GC4,2553,5494722,63.2535328345325,60.8076274054742,65.772096669721
2017,Patagonia,GC4,2813,5586152,67.3436744329993,64.8643944215901,69.8930639509631
2018,Patagonia,GC4,2415,5676964,55.3887465142207,53.1906434745136,57.6540172983282
2019,Patagonia,GC4,2357,5767084,52.2794149411734,50.1814710066784,54.4422633274102
2020,Patagonia,GC4,2154,5856438,45.5567248406662,43.6454911047111,47.5298586466657
2021,Patagonia,GC4,2282,5945082,46.45986422404,44.5669033728777,48.4123589911945
2022,Patagonia,GC4,2633,6033078,52.0880682610121,50.112770958408,54.1211312805332
2023,Patagonia,GC4,2446,6120372,46.4477123903655,44.6216635710517,48.3291994094925
