anio,region_deis,jurisd_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2020,Centro,Santa Fe,GC3,2131,7072836,26.9493632399427,25.8117096446403,28.1240644320398
2021,Centro,Santa Fe,GC3,2313,7126780,29.0298908582216,27.8528567006201,30.2436897541824
2022,Centro,Santa Fe,GC3,2487,7179998,30.4376579757633,29.2467577241444,31.6644093307652
2023,Centro,Santa Fe,GC3,2359,7232454,28.4390918010929,27.2964980476815,29.6170189314405
2010,Centro,Santa Fe,GC4,4872,6515814,70.9571445898962,68.9711777582906,72.9856256330302
2011,Centro,Santa Fe,GC4,4701,6570816,67.4001361258705,65.4796215979835,69.3625136816587
2012,Centro,Santa Fe,GC4,4095,6626424,57.8908133471516,56.1237332481567,59.699199171983
2013,Centro,Santa Fe,GC4,4343,6682456,60.3704612836737,58.5803275928641,62.2012121325421
2014,Centro,Santa Fe,GC4,4495,6738730,61.3149166525203,59.5271744556785,63.1425215244535
2015,Centro,Santa Fe,GC4,4603,6795064,61.8791068672152,60.0959724118263,63.7015263468367
2016,Centro,Santa Fe,GC4,5387,6851312,71.5546430117937,69.6474711140223,73.5006193115463
2017,Centro,Santa Fe,GC4,4915,6907348,64.0118971723439,62.2266178672727,65.8352249930068
2018,Centro,Santa Fe,GC4,4644,6963028,59.4840797967869,57.7778358898656,61.2277464020707
2019,Centro,Santa Fe,GC4,4868,7018226,61.3881612182084,59.6679340726999,63.1452291079637
2020,Centro,Santa Fe,GC4,4261,7072836,53.2528778078014,51.658332978282,54.8839528281965
2021,Centro,Santa Fe,GC4,5153,7126780,64.1688322639017,62.4196923331761,65.9543694435923
2022,Centro,Santa Fe,GC4,5591,7179998,66.8252106988593,65.0763189603534,68.6090239531271
2023,Centro,Santa Fe,GC4,4608,7232454,53.9087474526761,52.3550888838125,55.4966165598967
2010,Cuyo,Mendoza,GC1,1411,3549474,44.4896047610253,42.1945615686636,46.8768724062242
2011,Cuyo,Mendoza,GC1,1251,3594470,38.5962833366731,36.4840061430355,40.7988283538676
2012,Cuyo,Mendoza,GC1,1255,3639216,37.7874237828889,35.722984237743,39.9399428308475
2013,Cuyo,Mendoza,GC1,1265,3683626,37.0846790773387,35.066487721258,39.1886278209524
2014,Cuyo,Mendoza,GC1,1311,3727618,37.5148070191621,35.5087867267913,39.604524333609
